home_team,away_team,home_score,away_score,Hasil,HTRF,THFP,PHPAR,PHSPAR,PHPSAR,PHDAR,PHTSA,PHDBAR,PHAAR,ATRF,TAFP,PAPAR,PASPAR,PAPSAR,PADAR,PATSA,PADBAR,PAAAR
Iran,Korea Republic,2,0,Home_win,49,4,67,60,75,58,72,67,28,56,9,72,67,78,62,77,73,26
Netherlands,England,1,1,Draw,8,10,74,68,80,63,78,75,26,10,14,75,68,81,64,79,76,26
Switzerland,Brazil,1,2,Away_win,7,10,72,66,80,65,78,74,26,11,20,76,70,80,65,79,79,28
Greece,Korea Republic,0,1,Away_win,18,3,73,66,79,62,76,74,28,56,9,72,67,78,62,77,73,26
Nigeria,Ghana,1,4,Away_win,33,5,70,64,80,61,81,74,25,23,3,71,66,80,63,81,74,25
Portugal,Brazil,2,0,Home_win,14,6,75,70,80,63,78,78,28,11,20,76,70,80,65,79,79,28
Colombia,Uruguay,1,3,Away_win,4,5,73,67,80,63,79,75,27,6,12,72,66,80,65,77,74,28
England,Spain,0,1,Away_win,10,14,75,68,81,64,79,76,26,1,14,81,71,79,67,78,82,28
France,Argentina,0,1,Away_win,21,14,76,69,80,68,81,76,26,3,16,76,66,81,65,76,74,29
Germany,Switzerland,3,1,Home_win,2,18,76,69,81,67,77,76,26,7,10,72,66,80,65,78,74,26
Netherlands,Russia,4,1,Home_win,8,10,74,68,80,63,78,75,26,19,10,71,64,76,62,77,75,27
USA,Mexico,2,0,Home_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Costa Rica,Honduras,3,1,Home_win,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
Brazil,Chile,4,0,Home_win,11,20,76,70,80,65,79,79,28,12,9,73,68,76,64,77,75,28
Korea Republic,Uruguay,0,2,Away_win,56,9,72,67,78,62,77,73,26,6,12,72,66,80,65,77,74,28
Portugal,Belgium,4,0,Home_win,14,6,75,70,80,63,78,78,28,5,12,76,68,82,65,78,77,25
Colombia,Switzerland,3,1,Home_win,4,5,73,67,80,63,79,75,27,7,10,72,66,80,65,78,74,26
USA,Ecuador,3,1,Home_win,31,10,70,66,80,62,77,72,27,22,3,70,65,77,57,80,75,27
Brazil,Ghana,1,0,Home_win,11,20,76,70,80,65,79,79,28,23,3,71,66,80,63,81,74,25
Chile,Costa Rica,1,1,Draw,12,9,73,68,76,64,77,75,28,13,4,66,60,76,57,74,67,27
Mexico,Ecuador,4,2,Home_win,24,15,71,64,75,62,76,72,27,22,3,70,65,77,57,80,75,27
Argentina,Chile,0,0,Draw,3,16,76,66,81,65,76,74,29,12,9,73,68,76,64,77,75,28
England,Brazil,1,1,Draw,10,14,75,68,81,64,79,76,26,11,20,76,70,80,65,79,79,28
Australia,Uruguay,1,2,Away_win,57,4,71,64,78,62,76,71,26,6,12,72,66,80,65,77,74,28
Belgium,Portugal,1,2,Away_win,5,12,76,68,82,65,78,77,25,14,6,75,70,80,63,78,78,28
Costa Rica,Chile,2,0,Home_win,13,4,66,60,76,57,74,67,27,12,9,73,68,76,64,77,75,28
Korea Republic,Netherlands,0,2,Away_win,56,9,72,67,78,62,77,73,26,8,10,74,68,80,63,78,75,26
Mexico,Iran,4,0,Home_win,24,15,71,64,75,62,76,72,27,49,4,67,60,75,58,72,67,28
Switzerland,Argentina,1,1,Draw,7,10,72,66,80,65,78,74,26,3,16,76,66,81,65,76,74,29
Algeria,Argentina,3,4,Away_win,,,,,,,,,,3,16,76,66,81,65,76,74,29
Japan,Colombia,0,0,Draw,44,5,72,66,74,63,73,72,27,4,5,73,67,80,63,79,75,27
Honduras,Mexico,2,1,Home_win,34,3,70,62,78,60,77,72,28,24,15,71,64,75,62,76,72,27
Mexico,Costa Rica,1,0,Home_win,24,15,71,64,75,62,76,72,27,13,4,66,60,76,57,74,67,27
Colombia,Ecuador,3,1,Home_win,4,5,73,67,80,63,79,75,27,22,3,70,65,77,57,80,75,27
USA,Mexico,2,1,Home_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Brazil,Mexico,0,2,Away_win,11,20,76,70,80,65,79,79,28,24,15,71,64,75,62,76,72,27
Argentina,USA,4,1,Home_win,3,16,76,66,81,65,76,74,29,,,,,,,,,
Brazil,Chile,3,0,Home_win,11,20,76,70,80,65,79,79,28,12,9,73,68,76,64,77,75,28
Mexico,Ecuador,2,1,Home_win,24,15,71,64,75,62,76,72,27,22,3,70,65,77,57,80,75,27
Argentina,Colombia,4,2,Home_win,3,16,76,66,81,65,76,74,29,4,5,73,67,80,63,79,75,27
Brazil,Ecuador,1,0,Home_win,11,20,76,70,80,65,79,79,28,22,3,70,65,77,57,80,75,27
Mexico,Chile,0,0,Draw,24,15,71,64,75,62,76,72,27,12,9,73,68,76,64,77,75,28
Colombia,USA,1,0,Home_win,4,5,73,67,80,63,79,75,27,31,10,70,66,80,62,77,72,27
Chile,Brazil,1,6,Away_win,12,9,73,68,76,64,77,75,28,11,20,76,70,80,65,79,79,28
Uruguay,Brazil,2,2,Draw,6,12,72,66,80,65,77,74,28,11,20,76,70,80,65,79,79,28
Mexico,Argentina,0,3,Away_win,24,15,71,64,75,62,76,72,27,3,16,76,66,81,65,76,74,29
Mexico,Uruguay,3,1,Home_win,24,15,71,64,75,62,76,72,27,6,12,72,66,80,65,77,74,28
Brazil,Argentina,3,0,Home_win,11,20,76,70,80,65,79,79,28,3,16,76,66,81,65,76,74,29
Japan,Australia,1,1,Draw,44,5,72,66,74,63,73,72,27,57,4,71,64,78,62,76,71,26
Iran,Korea Republic,0,0,Draw,49,4,67,60,75,58,72,67,28,56,9,72,67,78,62,77,73,26
Korea Republic,Japan,0,0,Draw,56,9,72,67,78,62,77,73,26,44,5,72,66,74,63,73,72,27
Algeria,Brazil,0,2,Away_win,,,,,,,,,,11,20,76,70,80,65,79,79,28
England,Germany,1,2,Away_win,10,14,75,68,81,64,79,76,26,2,18,76,69,81,67,77,76,26
Greece,Spain,2,3,Away_win,18,3,73,66,79,62,76,74,28,1,14,81,71,79,67,78,82,28
Japan,Cameroon,2,0,Home_win,44,5,72,66,74,63,73,72,27,59,7,69,64,81,63,81,74,26
Mexico,Colombia,0,1,Away_win,24,15,71,64,75,62,76,72,27,4,5,73,67,80,63,79,75,27
Switzerland,Netherlands,2,1,Home_win,7,10,72,66,80,65,78,74,26,8,10,74,68,80,63,78,75,26
Switzerland,Chile,2,1,Home_win,7,10,72,66,80,65,78,74,26,12,9,73,68,76,64,77,75,28
Italy,France,0,0,Draw,9,18,76,68,81,66,77,75,27,21,14,76,69,80,68,81,76,26
Costa Rica,Honduras,0,0,Draw,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
USA,Brazil,2,4,Away_win,31,10,70,66,80,62,77,72,27,11,20,76,70,80,65,79,79,28
Australia,Argentina,0,1,Away_win,57,4,71,64,78,62,76,71,26,3,16,76,66,81,65,76,74,29
Switzerland,Japan,3,4,Away_win,7,10,72,66,80,65,78,74,26,44,5,72,66,74,63,73,72,27
England,Russia,3,0,Home_win,10,14,75,68,81,64,79,76,26,19,10,71,64,76,62,77,75,27
Honduras,Ecuador,2,1,Home_win,34,3,70,62,78,60,77,72,28,22,3,70,65,77,57,80,75,27
Mexico,Brazil,1,3,Away_win,24,15,71,64,75,62,76,72,27,11,20,76,70,80,65,79,79,28
Argentina,Chile,2,0,Home_win,3,16,76,66,81,65,76,74,29,12,9,73,68,76,64,77,75,28
Greece,Bosnia-Herzegovina,3,2,Home_win,18,3,73,66,79,62,76,74,28,16,1,73,66,79,61,77,75,27
Colombia,Brazil,0,0,Draw,4,5,73,67,80,63,79,75,27,11,20,76,70,80,65,79,79,28
Mexico,Nigeria,2,2,Draw,24,15,71,64,75,62,76,72,27,33,5,70,64,80,61,81,74,25
Brazil,Ecuador,5,0,Home_win,11,20,76,70,80,65,79,79,28,22,3,70,65,77,57,80,75,27
Russia,England,2,1,Home_win,19,10,71,64,76,62,77,75,27,10,14,75,68,81,64,79,76,26
Switzerland,USA,0,1,Away_win,7,10,72,66,80,65,78,74,26,31,10,70,66,80,62,77,72,27
Australia,Nigeria,1,0,Home_win,57,4,71,64,78,62,76,71,26,33,5,70,64,80,61,81,74,25
Uruguay,Chile,2,2,Draw,6,12,72,66,80,65,77,74,28,12,9,73,68,76,64,77,75,28
Colombia,Argentina,2,1,Home_win,4,5,73,67,80,63,79,75,27,3,16,76,66,81,65,76,74,29
Switzerland,Nigeria,0,1,Away_win,7,10,72,66,80,65,78,74,26,33,5,70,64,80,61,81,74,25
Brazil,Uruguay,2,1,Home_win,11,20,76,70,80,65,79,79,28,6,12,72,66,80,65,77,74,28
Nigeria,Ivory Coast,0,1,Away_win,33,5,70,64,80,61,81,74,25,17,3,72,65,80,62,80,73,27
Japan,Chile,0,0,Draw,44,5,72,66,74,63,73,72,27,12,9,73,68,76,64,77,75,28
Iran,Costa Rica,0,0,Draw,49,4,67,60,75,58,72,67,28,13,4,66,60,76,57,74,67,27
Japan,Bosnia-Herzegovina,3,0,Home_win,44,5,72,66,74,63,73,72,27,16,1,73,66,79,61,77,75,27
Korea Republic,Chile,0,1,Away_win,56,9,72,67,78,62,77,73,26,12,9,73,68,76,64,77,75,28
Ghana,Nigeria,2,1,Home_win,23,3,71,66,80,63,81,74,25,33,5,70,64,80,61,81,74,25
England,Switzerland,2,1,Home_win,10,14,75,68,81,64,79,76,26,7,10,72,66,80,65,78,74,26
Italy,Portugal,3,1,Home_win,9,18,76,68,81,66,77,75,27,14,6,75,70,80,63,78,78,28
Spain,France,1,0,Home_win,1,14,81,71,79,67,78,82,28,21,14,76,69,80,68,81,76,26
Uruguay,Colombia,2,2,Draw,6,12,72,66,80,65,77,74,28,4,5,73,67,80,63,79,75,27
USA,Mexico,2,2,Draw,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Ghana,Cameroon,0,1,Away_win,23,3,71,66,80,63,81,74,25,59,7,69,64,81,63,81,74,26
Ghana,Ivory Coast,4,2,Home_win,23,3,71,66,80,63,81,74,25,17,3,72,65,80,62,80,73,27
Japan,Korea Republic,1,1,Draw,44,5,72,66,74,63,73,72,27,56,9,72,67,78,62,77,73,26
France,England,1,0,Home_win,21,14,76,69,80,68,81,76,26,10,14,75,68,81,64,79,76,26
Ghana,Mexico,1,2,Away_win,23,3,71,66,80,63,81,74,25,24,15,71,64,75,62,76,72,27
Honduras,Colombia,2,1,Home_win,34,3,70,62,78,60,77,72,28,4,5,73,67,80,63,79,75,27
Portugal,Greece,1,2,Away_win,14,6,75,70,80,63,78,78,28,18,3,73,66,79,62,76,74,28
Spain,Italy,1,0,Home_win,1,14,81,71,79,67,78,82,28,9,18,76,68,81,66,77,75,27
Switzerland,Germany,0,4,Away_win,7,10,72,66,80,65,78,74,26,2,18,76,69,81,67,77,76,26
Australia,Ghana,1,0,Home_win,57,4,71,64,78,62,76,71,26,23,3,71,66,80,63,81,74,25
Japan,Ivory Coast,1,0,Home_win,44,5,72,66,74,63,73,72,27,17,3,72,65,80,62,80,73,27
France,Ecuador,2,0,Home_win,21,14,76,69,80,68,81,76,26,22,3,70,65,77,57,80,75,27
England,USA,2,0,Home_win,10,14,75,68,81,64,79,76,26,31,10,70,66,80,62,77,72,27
Italy,Belgium,3,1,Home_win,9,18,76,68,81,66,77,75,27,5,12,76,68,82,65,78,77,25
France,Colombia,1,0,Home_win,21,14,76,69,80,68,81,76,26,4,5,73,67,80,63,79,75,27
Mexico,Argentina,1,4,Away_win,24,15,71,64,75,62,76,72,27,3,16,76,66,81,65,76,74,29
Spain,USA,1,0,Home_win,1,14,81,71,79,67,78,82,28,31,10,70,66,80,62,77,72,27
USA,Argentina,0,0,Draw,31,10,70,66,80,62,77,72,27,3,16,76,66,81,65,76,74,29
Netherlands,Italy,3,0,Home_win,8,10,74,68,80,63,78,75,26,9,18,76,68,81,66,77,75,27
Spain,Russia,4,1,Home_win,1,14,81,71,79,67,78,82,28,19,10,71,64,76,62,77,75,27
Netherlands,France,4,1,Home_win,8,10,74,68,80,63,78,75,26,21,14,76,69,80,68,81,76,26
Greece,Russia,0,1,Away_win,18,3,73,66,79,62,76,74,28,19,10,71,64,76,62,77,75,27
Argentina,Ecuador,1,1,Draw,3,16,76,66,81,65,76,74,29,22,3,70,65,77,57,80,75,27
Switzerland,Portugal,2,0,Home_win,7,10,72,66,80,65,78,74,26,14,6,75,70,80,63,78,78,28
France,Italy,0,2,Away_win,21,14,76,69,80,68,81,76,26,9,18,76,68,81,66,77,75,27
Greece,Spain,1,2,Away_win,18,3,73,66,79,62,76,74,28,1,14,81,71,79,67,78,82,28
Portugal,Germany,2,3,Away_win,14,6,75,70,80,63,78,78,28,2,18,76,69,81,67,77,76,26
Netherlands,Russia,1,3,Away_win,8,10,74,68,80,63,78,75,26,19,10,71,64,76,62,77,75,27
Spain,Italy,0,0,Draw,1,14,81,71,79,67,78,82,28,9,18,76,68,81,66,77,75,27
Russia,Spain,0,3,Away_win,19,10,71,64,76,62,77,75,27,1,14,81,71,79,67,78,82,28
Germany,Spain,0,1,Away_win,2,18,76,69,81,67,77,76,26,1,14,81,71,79,67,78,82,28
Colombia,Ecuador,0,1,Away_win,4,5,73,67,80,63,79,75,27,22,3,70,65,77,57,80,75,27
Germany,Belgium,2,0,Home_win,2,18,76,69,81,67,77,76,26,5,12,76,68,82,65,78,77,25
Japan,Uruguay,1,3,Away_win,44,5,72,66,74,63,73,72,27,6,12,72,66,80,65,77,74,28
Mexico,Honduras,2,1,Home_win,24,15,71,64,75,62,76,72,27,34,3,70,62,78,60,77,72,28
Russia,Netherlands,1,1,Draw,19,10,71,64,76,62,77,75,27,8,10,74,68,80,63,78,75,26
Colombia,Uruguay,0,1,Away_win,4,5,73,67,80,63,79,75,27,6,12,72,66,80,65,77,74,28
Netherlands,Australia,1,2,Away_win,8,10,74,68,80,63,78,75,26,57,4,71,64,78,62,76,71,26
Spain,Bosnia-Herzegovina,1,0,Home_win,1,14,81,71,79,67,78,82,28,16,1,73,66,79,61,77,75,27
Chile,Brazil,0,3,Away_win,12,9,73,68,76,64,77,75,28,11,20,76,70,80,65,79,79,28
Chile,Colombia,4,0,Home_win,12,9,73,68,76,64,77,75,28,4,5,73,67,80,63,79,75,27
Uruguay,Ecuador,0,0,Draw,6,12,72,66,80,65,77,74,28,22,3,70,65,77,57,80,75,27
Mexico,Chile,0,1,Away_win,24,15,71,64,75,62,76,72,27,12,9,73,68,76,64,77,75,28
Argentina,Uruguay,2,1,Home_win,3,16,76,66,81,65,76,74,29,6,12,72,66,80,65,77,74,28
Germany,Russia,2,1,Home_win,2,18,76,69,81,67,77,76,26,19,10,71,64,76,62,77,75,27
Belgium,Spain,1,2,Away_win,5,12,76,68,82,65,78,77,25,1,14,81,71,79,67,78,82,28
Brazil,Colombia,0,0,Draw,11,20,76,70,80,65,79,79,28,4,5,73,67,80,63,79,75,27
Chile,Argentina,1,0,Home_win,12,9,73,68,76,64,77,75,28,3,16,76,66,81,65,76,74,29
Greece,Switzerland,1,2,Away_win,18,3,73,66,79,62,76,74,28,7,10,72,66,80,65,78,74,26
Mexico,Ecuador,2,1,Home_win,24,15,71,64,75,62,76,72,27,22,3,70,65,77,57,80,75,27
Brazil,Portugal,6,2,Home_win,11,20,76,70,80,65,79,79,28,14,6,75,70,80,63,78,78,28
Colombia,Nigeria,1,0,Home_win,4,5,73,67,80,63,79,75,27,33,5,70,64,80,61,81,74,25
France,Uruguay,0,0,Draw,21,14,76,69,80,68,81,76,26,6,12,72,66,80,65,77,74,28
Germany,England,1,2,Away_win,2,18,76,69,81,67,77,76,26,10,14,75,68,81,64,79,76,26
Greece,Italy,1,1,Draw,18,3,73,66,79,62,76,74,28,9,18,76,68,81,66,77,75,27
Honduras,Mexico,1,0,Home_win,34,3,70,62,78,60,77,72,28,24,15,71,64,75,62,76,72,27
Spain,Chile,3,0,Home_win,1,14,81,71,79,67,78,82,28,12,9,73,68,76,64,77,75,28
Iran,Ecuador,0,1,Away_win,49,4,67,60,75,58,72,67,28,22,3,70,65,77,57,80,75,27
Honduras,Chile,2,0,Home_win,34,3,70,62,78,60,77,72,28,12,9,73,68,76,64,77,75,28
Brazil,Italy,2,0,Home_win,11,20,76,70,80,65,79,79,28,9,18,76,68,81,66,77,75,27
Costa Rica,Honduras,2,0,Home_win,13,4,66,60,76,57,74,67,27,34,3,70,62,78,60,77,72,28
France,Argentina,0,2,Away_win,21,14,76,69,80,68,81,76,26,3,16,76,66,81,65,76,74,29
Iran,Korea Republic,1,1,Draw,49,4,67,60,75,58,72,67,28,56,9,72,67,78,62,77,73,26
Japan,Australia,0,0,Draw,44,5,72,66,74,63,73,72,27,57,4,71,64,78,62,76,71,26
Spain,England,2,0,Home_win,1,14,81,71,79,67,78,82,28,10,14,75,68,81,64,79,76,26
USA,Mexico,2,0,Home_win,31,10,70,66,80,62,77,72,27,24,15,71,64,75,62,76,72,27
Belgium,Bosnia-Herzegovina,2,4,Away_win,5,12,76,68,82,65,78,77,25,16,1,73,66,79,61,77,75,27
Mexico,Costa Rica,2,0,Home_win,24,15,71,64,75,62,76,72,27,13,4,66,60,76,57,74,67,27
Bosnia-Herzegovina,Belgium,2,1,Home_win,16,1,73,66,79,61,77,75,27,5,12,76,68,82,65,78,77,25
Honduras,Mexico,3,1,Home_win,34,3,70,62,78,60,77,72,28,24,15,71,64,75,62,76,72,27
Japan,Chile,4,0,Home_win,44,5,72,66,74,63,73,72,27,12,9,73,68,76,64,77,75,28
Belgium,Chile,1,1,Draw,5,12,76,68,82,65,78,77,25,12,9,73,68,76,64,77,75,28
Japan,Belgium,4,0,Home_win,44,5,72,66,74,63,73,72,27,5,12,76,68,82,65,78,77,25
France,Nigeria,0,1,Away_win,21,14,76,69,80,68,81,76,26,33,5,70,64,80,61,81,74,25
Costa Rica,USA,3,1,Home_win,13,4,66,60,76,57,74,67,27,31,10,70,66,80,62,77,72,27
Argentina,Colombia,1,0,Home_win,3,16,76,66,81,65,76,74,29,4,5,73,67,80,63,79,75,27
Uruguay,Brazil,0,4,Away_win,6,12,72,66,80,65,77,74,28,11,20,76,70,80,65,79,79,28
USA,Honduras,2,1,Home_win,31,10,70,66,80,62,77,72,27,34,3,70,62,78,60,77,72,28
Ivory Coast,Cameroon,2,1,Home_win,17,3,72,65,80,62,80,73,27,59,7,69,64,81,63,81,74,26
USA,Italy,1,3,Away_win,31,10,70,66,80,62,77,72,27,9,18,76,68,81,66,77,75,27
Australia,Japan,2,1,Home_win,57,4,71,64,78,62,76,71,26,44,5,72,66,74,63,73,72,27
Korea Republic,Iran,1,1,Draw,56,9,72,67,78,62,77,73,26,49,4,67,60,75,58,72,67,28
USA,Brazil,0,3,Away_win,31,10,70,66,80,62,77,72,27,11,20,76,70,80,65,79,79,28
Italy,Brazil,0,3,Away_win,9,18,76,68,81,66,77,75,27,11,20,76,70,80,65,79,79,28
Spain,USA,0,2,Away_win,1,14,81,71,79,67,78,82,28,31,10,70,66,80,62,77,72,27
USA,Brazil,2,3,Away_win,31,10,70,66,80,62,77,72,27,11,20,76,70,80,65,79,79,28
USA,Honduras,2,0,Home_win,31,10,70,66,80,62,77,72,27,34,3,70,62,78,60,77,72,28
Costa Rica,Mexico,1,1,Draw,13,4,66,60,76,57,74,67,27,24,15,71,64,75,62,76,72,27
